Family	Genus	taxon	taxName	meanRate	low	high	calTime	randTest	trTs	Nuc-acid
Paramyxoviridae	Pneumovirus	HRSV+AF8-B+AF8-N3	HRSV_B_N3	0.0015322812	0.0010251661	0.0020641432	44	3	4.7963054897	ssRNA
Herpesviridae	Simplexvirus	hsv+AF8-111	hsv_111	0.0002624325	6.62260934486462e-05	0.0005375447	10	0	2.1135119357	dsDNA
Adenoviridae	Mastadenovirus	HuAdenovir+AF8-N19	HuAdenovir_N19	0.002852338	0.0009937688	0.0058551804	11	3	1.3723749543	dsDNA
Coronaviridae	Betacoronavirus	HuCo+AF8-N36	HuCo_N36	0.0083919763	0.0011547362	0.0276637076	2	3	5.3044911209	ssRNA
Coronaviridae	Alphacoronavirus	HuCo+AF8-N39	HuCo_N39	0.0011145517	0.0007173605	0.0016445637	8	3	0.9340460129	ssRNA
Herpesviridae	Cytomegalovirus	HuCytVir+AF8-N17	HuCytVir_N17	7.2293634358919e-06	1.85187041101506e-07	2.57324309699349e-05	50	0	2.263850423	dsDNA
Picornaviridae	Enterovirus	HuEntC+AF8-N40	HuEntC_N40	0.0133551541	0.0010945561	0.0287086478	7	3	1.8067557709	ssRNA
Herpesviridae	Simplexvirus	HuHV1+AF8-N14	HuHV1_N14	0.2217659622	0.1154089705	0.3467805703	7	3	0.8295475575	dsDNA
Herpesviridae	Simplexvirus	huHV2+AF8-N15	huHV2_N15	1.83427742660131e-05	6.98197803534742e-07	4.8141239021508e-05	11	0	2.2984303617	dsDNA
Herpesviridae	Simplexvirus	HuHV3+AF8-N16	HuHV3_N16	0.0037219202	0.0005696364	0.0119923715	5	0	1.3593705567	dsDNA
Parvoviridae	Bocavirus	humanBV+AF8-60	humanBV_60	0.0007438944	4.57618244554727e-05	0.0022520433	5	0	5.0646728502	ssDNA
Reoviridae	Rotavirus	humanRV+AF8-118	humanRV_118	0.0005190623	0.0002794114	0.0008638399	13	3	5.914732962	dsRNA
Paramyxoviridae	Pneumovirus	HuPnV+AF8-N6	HuPnV_N6	2.39185792002363e-05	5.07298442256275e-06	5.21782438845715e-05	85.98	1	5.6321358501	ssRNA
Birnaviridae	Avibirnavirus	IBDV+AF8-N34	IBDV_N34	0.0044908063	0.0010541401	0.0099774364	2	1	3.00315916	dsDNA
Orthomyxoviridae	Influenzavirus	InfA+AF8-N43	InfA_N43	0.0001757124	2.08712487251944e-06	0.0011895348	45	2	1.3358600289	ssRNA
Polyomaviridae	Polyomavirus	jcv+AF8-107	jcv_107	2.08061534696797e-05	1.37860849028721e-06	5.39213687042793e-05	33	0	2.018145334	dsDNA
Polyomaviridae	Polyomavirus	JCvir+AF8-N27	JCvir_N27	0.0016401901	0.0010613169	0.0023493553	16	3	0.9732242111	dsDNA
Arenaviridae	Arenavirus	LassVir+AF8-N47	LassVir_N47	0.0102908888	0.0057368829	0.01561216	6	3	5.9564765142	ssRNA
Rhabdoviridae	Lyssavirus	LBV+AF8-N4	LBV_N4	0.0001548428	6.99312559599536e-05	0.0002843945	52	3	2.8536996461	ssRNA
Unassigned	Varicosavirus	LBVV+AF8-N7	LBVV_N7	0.0020368188	0.0001093123	0.0061531071	13	1	1.0768006359	ssRNA
Iridoviridae	Lymphocystivirus	LCV+AF8-N11	LCV_N11	8.02559963476853e-05	6.96470708492177e-06	0.0002189828	49	0	1.6639594667	dsDNA
Iridoviridae	Lymphocystivirus	LDV+AF8-N21	LDV_N21	9.03020155002661e-05	5.4887175568347e-06	0.000267818	49	0	1.991027023	dsDNA
Herpesviridae	Mardivirus	MardVir+AF8-N13	MardVir_N13	0.001123721	1.06900904462625e-05	0.0053033017	16	2	1.2596028415	dsDNA
Iridoviridae	Megalocytivirus	McV+AF8-N22	McV_N22	0.0001848277	7.32241065651959e-05	0.0003318356	16	3	1.4151457784	dsDNA
Paramyxoviridae	Morbillivirus	MeVir+AF8-N44	MeVir_N44	0.0006420057	0.000338757	0.0009753473	36	3	6.2084437529	ssRNA
Caliciviridae	Norovirus	norovir+AF8-125	norovir_125	0.0036511415	0.0011243014	0.0088217007	13	3	4.6684989447	ssRNA
Caliciviridae	Norovirus	Norovir+AF8-43	Norovir_43	0.0029882279	0.0018707412	0.0045084048	22	3	2.190083946	ssRNA
Roniviridae	Okavirus	Okavir+AF8-N37	Okavir_N37	0.0005162912	0.0001097789	0.0010831048	8	2	1.7359333198	ssRNA
Malacoherpesviridae	Ostreavirus	OSV+AF8-N9	OSV_N9	0.0007096421	0.0003037344	0.0011989723	17	3	0.9355989499	dsDNA
Circoviridae	Circovirus	PCV1+AF8-32	PCV1_32	0.0001669401	1.48244674010718e-06	0.0006063516	12	0	1.5754832437	ssRNA
Alphaflexiviridae	Potexvirus	PXV+AF8-N3	PXV_N3	0.0001266561	2.26928975636978e-05	0.0002967708	42	1	2.9133831232	ssRNA
Rhabdoviridae	Lyssavirus	rabv+AF8-128	rabv_128	0.0004837987	0.0002789139	0.0007175874	20	3	4.2619191452	ssRNA
Rhabdoviridae	Lyssavirus	rabv+AF8-44	rabv_44	0.0002621127	0.0001353714	0.0004104127	34	3	5.5807054814	ssRNA
Iridoviridae	Ranavirus	RanaVir+AF8-N23	RanaVir_N23	0.0101070319	5.68009188617565e-05	0.0473256854	7	0	1.2959810268	dsDNA
Caliciviridae	Calicivirus	RCVA1+AF8-121	RCVA1_121	0.0001061733	3.79764823331944e-06	0.0004171307	25	0	6.2435313481	ssRNA
Caliciviridae	Lagovirus	RHDV+AF8-122	RHDV_122	0.0001210529	3.94148205131541e-06	0.0003846453	21	0	8.6801681977	ssRNA
Caliciviridae	Lagovirus	rhdv+AF8-63	rhdv_63	0.0004304105	1.71376596330959e-05	0.0013558225	22	0	4.0570186108	ssRNA
Togaviridae	Rubivirus	rubVE1+AF8-124	rubVE1_124	7.98229648709563e-05	3.71353442991489e-06	0.0002349516	8	0	10.2906372774	ssRNA
Unassigned	Sobemovirus	RYMV26	RYMV26	3.12425194239124e-05	3.55845212787383e-07	0.0001781122	27	0	0.5355569004	ssRNA
Orthomyxoviridae	Isavirus	SAV+AF8-f+AF8-37	SAV_f_37	2.86029798396867e-05	1.07984643375083e-06	9.12284000924125e-05	20	0	1.7345017478	ssRNA
Orthomyxoviridae	Isavirus	SAV+AF8-he+AF8-37	SAV_he_37	6.11327670818348e-05	2.41855278568358e-06	0.0001752748	20	0	1.7666852266	ssRNA
Luteoviridae	Luteovirus	SDV126	SDV126	9.11446273859307e-06	3.70751849322008e-07	3.06576236351277e-05	13	0	1.1865717673	ssRNA
Bunyaviridae	Hantavirus	seov+AF8-m+AF8-35	seov_m_35	0.0003303786	2.02757854551854e-05	0.0008977844	6	0	3.086840066	ssRNA
Bunyaviridae	Hantavirus	seov+AF8-s+AF8-35	seov_s_35	0.0002299338	2.017244238233e-05	0.0005343755	6	0	2.0650858256	ssRNA
Retroviridae	Lentivirus	SIVsmHIV2env+AF8-132	SIVsmHIV2env_132	0.0003063843	3.11719139967807e-05	0.0006951941	28	0	2.0876425286	ssRNA
Flaviviridae	Flavivirus	tbev+AF8-123	tbev_123	2.58202458518643e-05	1.04075920077122e-06	6.5478362858096e-05	67	0	4.5854002707	ssRNA
Poxviridae	Orthopoxvirus	VacVir+AF8-N12	VacVir_N12	3.20505285458427e-05	3.02012530191095e-05	5.57596902914877e-05	6	3	2.6382329338	dsDNA
Poxviridae	Orthopoxvirus	Varvir+AF8-N31	Varvir_N31	8.58773261083652e-06	8.58773261083652e-06	8.58773261083652e-06	27	2	2.5639808757	dsDNA
Potyviridae	Tritimovirus	WSMV19	WSMV19	3.7922453712833e-05	1.99694490132582e-06	0.0001559193	68	1	3.2442126017	ssRNA
Flaviviridae	Flavivirus	YFV+AF8-53	YFV_53	3.85396047075438e-05	3.39715314128812e-06	9.77745673800963e-05	53	0	6.0162909781	ssRNA
Flaviviridae	Flavivirus	YFV+AF8-62	YFV_62	4.2386684791132e-05	8.71358320908104e-07	0.0001387896	28	0	9.7227894208	ssRNA
Filoviridae	Ebolavirus	Zebola+AF8-N45	Zebola_N45	0.0003593832	6.0244701673389e-05	0.0005075968	9	1	4.8606838191	ssRNA
Asfarviridae	Asfivirus	ASF+AF8-N10	ASF_N10	4.05276840418442E-005	9.98459439221765E-006	9.82599307033344E-005	51	3	3.44	dsDNA
Luteoviridae	Luteovirus	BYDV	BYDV24	2.64684545000001E-005	9.21819866479969E-007	8.39535548476223E-005	86	0	1.395	ssRNA
Picornaviridae	Enterovirus	echovirus	echovirus50	0.000106501	2.52381610672494E-006	0.000419258	10.5	1	5.93	ssRNA
Hepadnaviridae	Orthohepadnavirus	HBV	HBV18	0.000084807	5.29055650795657E-006	0.0002258613	23	1	1.37	ssRNA
Hepadnaviridae	Avihepadnavirus	HBV+AF8-avian	HBV+AF8-avian	6.63104455471354E-005	1.04494470635827E-006	0.0005667892	20	0	1.2	ssRNA
Hepadnaviridae	Orthohepadnavirus	HBV+AF8-C	HBV+AF8-C	0.0002392236	5.7230069323579E-005	0.0004370439	20	1	1.45	ssRNA
Hepadnaviridae	Orthohepadnavirus	HBV+AF8-D	HBV+AF8-D	0.0001249222	0.000004871	0.000389663	22	0	1.26	ssRNA
Geminiviridae	Begomovirus	TYLCV+AF8-mild	TYLCV+AF8-mild	0.0002599124	6.96563231105433E-005	0.0004735293	11	0	1.45	ssDNA
Geminiviridae	Begomovirus	TYLCV+AF8-severe	TYLCV+AF8-severe	0.0001008997	0.000013882	0.0002342084	18	1	1.29	ssDNA
Togaviridae	Rubivirus	rubVE1+AF8-124	rubVE1+AF8-124	0.000079823	3.71353442991489E-006	0.0002349516	8	0	10.29	ssRNA
