Family	Genus	file_name	Mean rate (susbt/site/year)	Lower 95%HPD of rate	Upper 95%HPD of rate	Calibration time	Date-randomisation test	ti/tv	Nucleic acid	Mean root (years)	Lower 95%HPD of root	Upper 95%HPD of root
Papillomaviridae	Papillomavirus	HPV31+AF8-N33	4.58E-05	1.65E-06	1.50E-04	6.00	PASS	4.23	dsDNA	1676.27	71.49	9362.76
Papillomaviridae	Alphapapillomavirus	HPV6+AF8-N32	9.73E-05	1.71E-05	2.39E-04	9.00	FAIL	2.69	dsDNA	89.86	45.50	292.71
Paramyxoviridae	Pneumovirus	HRSV+AF8-B+AF8-N3	1.53E-03	1.03E-03	2.06E-03	44.00	PASS	7.19	ssRNA	51.86	45.04	63.99
Herpesviridae	Simplexvirus	hsv+AF8-111	2.62E-04	6.62E-05	5.38E-04	10.00	FAIL	6.34	dsDNA	24.76	10.03	79.27
Adenoviridae	Mastadenovirus	HuAdenovir+AF8-N19	2.85E-03	9.94E-04	5.86E-03	11.00	PASS	5.49	dsDNA	138.03	13.90	509.47
Coronaviridae	Betacoronavirus	HuCo+AF8-N36	8.39E-03	1.15E-03	2.77E-02	2.00	PASS	7.96	ssRNA	5.11	2.00	29.28
Coronaviridae	Alphacoronavirus	HuCo+AF8-N39	1.11E-03	7.17E-04	1.64E-03	8.00	PASS	4.67	ssRNA	821.61	480.57	1348.04
Picornaviridae	Enterovirus	HuEntC+AF8-N40	1.34E-02	1.09E-03	2.87E-02	7.00	PASS	3.61	ssRNA	140.60	16.26	856.86
Herpesviridae	Simplexvirus	HuHV1+AF8-N14	2.22E-01	1.15E-01	3.47E-01	7.00	PASS	4.98	dsDNA	16.93	7.87	50.09
Herpesviridae	Simplexvirus	huHV2+AF8-N15	1.83E-05	6.98E-07	4.81E-05	11.00	FAIL	11.49	dsDNA	635.27	33.38	1638.47
Herpesviridae	Simplexvirus	HuHV3+AF8-N16	3.72E-03	5.70E-04	1.20E-02	5.00	FAIL	6.80	dsDNA	155.77	11.13	768.37
Paramyxoviridae	Pneumovirus	HuPnV+AF8-N6	2.39E-05	5.07E-06	5.22E-05	85.98	FAIL	5.63	ssRNA	6484.50	1807.71	20902.88
Birnaviridae	Avibirnavirus	IBDV+AF8-N34	4.49E-03	1.05E-03	9.98E-03	2.00	FAIL	9.01	dsDNA	14.12	4.99	32.64
Polyomaviridae	Polyomavirus	jcv+AF8-107	2.08E-05	1.38E-06	5.39E-05	33.00	FAIL	2.02	dsDNA	2646.17	183.03	13697.43
Polyomaviridae	Polyomavirus	JCvir+AF8-N27	1.64E-03	1.06E-03	2.35E-03	16.00	PASS	1.46	dsDNA	80.65	40.72	169.88
Arenaviridae	Arenavirus	LassVir+AF8-N47	1.03E-02	5.74E-03	1.56E-02	6.00	PASS	8.93	ssRNA	20.14	12.91	31.71
Rhabdoviridae	Lyssavirus	LBV+AF8-N4	1.55E-04	6.99E-05	2.84E-04	52.00	PASS	2.85	ssRNA	927.17	424.69	1767.65
Unassigned	Varicosavirus	LBVV+AF8-N7	2.04E-03	1.09E-04	6.15E-03	13.00	FAIL	5.38	ssRNA	1747.05	107.65	7701.81
Iridoviridae	Lymphocystivirus	LDV+AF8-N21	9.03E-05	5.49E-06	2.68E-04	49.00	FAIL	1.99	dsDNA	4172.38	363.22	16031.47
Iridoviridae	Megalocytivirus	McV+AF8-N22	1.85E-04	7.32E-05	3.32E-04	16.00	PASS	1.42	dsDNA	9181.65	2539.88	25635.71
Paramyxoviridae	Morbillivirus	MeVir+AF8-N44	6.42E-04	3.39E-04	9.75E-04	36.00	PASS	9.31	ssRNA	68.80	44.39	132.22
Caliciviridae	Norovirus	norovir+AF8-125	3.65E-03	1.12E-03	8.82E-03	13.00	PASS	7.00	ssRNA	97.48	31.16	232.01
Caliciviridae	Norovirus	Norovir+AF8-43	2.99E-03	1.87E-03	4.51E-03	22.00	PASS	3.29	ssRNA	99.00	56.11	150.55
Roniviridae	Okavirus	Okavir+AF8-N37	5.16E-04	1.10E-04	1.08E-03	8.00	PASS	6.94	ssRNA	762.51	205.80	2006.64
Malacoherpesviridae	Ostreavirus	OSV+AF8-N9	7.10E-04	3.04E-04	1.20E-03	17.00	PASS	1.40	dsDNA	19.03	17.00	23.21
Circoviridae	Circovirus	PCV1+AF8-32	1.67E-04	1.48E-06	6.06E-04	12.00	FAIL	3.15	ssRNA	446.42	18.63	2252.99
Alphaflexiviridae	Potexvirus	PXV+AF8-N3	1.27E-04	2.27E-05	2.97E-04	42.00	FAIL	2.91	ssRNA	4711.19	529.48	10978.63
Rhabdoviridae	Lyssavirus	rabv+AF8-128	4.84E-04	2.79E-04	7.18E-04	20.00	PASS	4.26	ssRNA	107.43	63.47	181.69
Rhabdoviridae	Lyssavirus	rabv+AF8-44	2.62E-04	1.35E-04	4.10E-04	34.00	PASS	5.58	ssRNA	330.08	200.73	574.42
Iridoviridae	Ranavirus	RanaVir+AF8-N23	1.01E-02	5.68E-05	4.73E-02	7.00	FAIL	2.59	dsDNA	1753.80	7.99	7100.53
Caliciviridae	Calicivirus	RCVA1+AF8-121	1.06E-04	3.80E-06	4.17E-04	25.00	FAIL	6.24	ssRNA	106.86	48.51	230.11
Caliciviridae	Lagovirus	RHDV+AF8-122	1.21E-04	3.94E-06	3.85E-04	21.00	FAIL	13.02	ssRNA	51.51	31.59	84.83
Caliciviridae	Lagovirus	rhdv+AF8-63	4.30E-04	1.71E-05	1.36E-03	22.00	FAIL	4.06	ssRNA	164.76	74.83	305.63
Togaviridae	Rubivirus	rubVE1+AF8-124	7.98E-05	3.71E-06	2.35E-04	8.00	FAIL	15.44	ssRNA	9.86	8.31	14.86
Unassigned	Sobemovirus	RYMV26	3.12E-05	3.56E-07	1.78E-04	27.00	FAIL	0.54	ssRNA	2470.13	27.64	14918.73
Orthomyxoviridae	Isavirus	SAV+AF8-f+AF8-37	2.86E-05	1.08E-06	9.12E-05	20.00	FAIL	1.73	ssRNA	174.72	68.12	380.73
Orthomyxoviridae	Isavirus	SAV+AF8-he+AF8-37	6.11E-05	2.42E-06	1.75E-04	20.00	FAIL	2.65	ssRNA	65.80	25.73	226.01
Bunyaviridae	Hantavirus	seov+AF8-m+AF8-35	3.30E-04	2.03E-05	8.98E-04	6.00	FAIL	9.26	ssRNA	52.83	11.84	197.32
Bunyaviridae	Hantavirus	seov+AF8-s+AF8-35	2.30E-04	2.02E-05	5.34E-04	6.00	FAIL	6.20	ssRNA	61.32	20.65	156.85
Retroviridae	Lentivirus	SIVsmHIV2env+AF8-132	3.06E-04	3.12E-05	6.95E-04	28.00	FAIL	2.09	ssRNA	157.69	70.09	363.10
Poxviridae	Orthopoxvirus	VacVir+AF8-N12	3.21E-05	3.02E-05	5.58E-05	6.00	PASS	15.83	dsDNA	14.28	12.59	26.82
Poxviridae	Orthopoxvirus	Varvir+AF8-N31	8.59E-06	8.59E-06	8.59E-06	27.00	PASS	3.85	dsDNA	42.36	42.01	42.01
Potyviridae	Tritimovirus	WSMV19	3.79E-05	2.00E-06	1.56E-04	68.00	FAIL	3.24	ssRNA	6801.43	109.62	27861.10
Flaviviridae	Flavivirus	YFV+AF8-53	3.85E-05	3.40E-06	9.78E-05	53.00	FAIL	6.02	ssRNA	644.66	284.60	1428.29
Flaviviridae	Flavivirus	YFV+AF8-62	4.24E-05	8.71E-07	1.39E-04	28.00	FAIL	9.72	ssRNA	194.82	55.71	600.84
Filoviridae	Ebolavirus	Zebola+AF8-N45	3.59E-04	6.02E-05	5.08E-04	9.00	FAIL	7.29	ssRNA	11.50	9.10	21.97
Asfarviridae	Asfivirus	ASF+AF8-N10	4.05E-05	9.98E-06	9.83E-05	51.00	PASS	3.44	dsDNA	3019.83	794.61	8613.20
